driver,team,race_id,year,finish,momentum,finish_baseline,finish_track,start_baseline,start_track,mid_baseline,mid_track,best_baseline,best_track,worst_baseline,worst_track,avg_baseline,avg_track,green_flag_passing_diff_baseline,green_flag_passing_diff_track,green_flag_passes_baseline,green_flag_passes_track,pct_quality_passes_baseline,pct_quality_passes_track,fastest_lap_baseline,fastest_lap_track,pct_top_15_laps_baseline,pct_top_15_laps_track,pct_laps_led_baseline,pct_laps_led_track,rating_baseline,rating_track
Todd Gilliland,Front Row Motorsports,95,2024,36,68.7775,21.31111111111111,21.875,25.27777777777778,30.25,21.08888888888889,19.75,7.444444444444445,8.875,32.93333333333333,34.625,22.327888888888893,24.6475,-5.666666666666667,-11.375,114.08888888888889,77.125,19.245151278685604,12.210226893787818,2.1,0.5,22.441707766481237,14.928357455525937,0.7863190900782243,0.0748502994011976,56.48044444444443,46.52875
Todd Gilliland,Front Row Motorsports,96,2024,23,52.44500000000001,21.47252747252747,21.066666666666666,25.21978021978022,22.933333333333334,21.0989010989011,17.0,7.417582417582418,4.066666666666666,32.956043956043956,33.666666666666664,22.391978021978026,18.736666666666668,-5.813186813186813,-2.3333333333333335,113.6043956043956,292.8,19.23774773245201,39.78279849561621,2.076923076923077,4.2,22.358966809725995,39.649290164322764,0.7776782209564855,2.104341882974468,56.257252747252736,69.85266666666668
Todd Gilliland,Front Row Motorsports,97,2024,17,64.375,21.48913043478261,21.952380952380953,24.967391304347824,27.38095238095238,20.902173913043477,24.761904761904763,7.3478260869565215,10.857142857142858,32.93478260869565,32.38095238095238,22.276195652173918,24.640476190476186,-5.543478260869565,-7.0,116.96739130434783,67.23809523809524,19.732722362659967,11.56829521601234,2.0543478260869565,0.8571428571428571,22.87412028374803,14.606115869337108,0.8027732376100718,0.6293660801857522,56.52499999999999,49.13666666666666
Todd Gilliland,Front Row Motorsports,98,2024,27,62.8425,21.440860215053764,21.1875,25.053763440860216,21.625,20.817204301075268,16.125,7.301075268817204,3.875,32.935483870967744,33.5,22.217741935483875,18.299375,-5.311827956989247,-1.0,117.24731182795699,300.9375,19.783720234841304,41.344836946614194,2.086021505376344,3.9375,23.12331303684242,41.53077743028716,0.7941412673131892,2.165721749856465,56.69430107526881,70.5425
Todd Gilliland,Front Row Motorsports,99,2024,16,65.33,21.5,19.846153846153847,24.819148936170212,24.615384615384617,20.70212765957447,20.615384615384617,7.25531914893617,7.769230769230769,32.90425531914894,33.38461538461539,22.12234042553192,21.537692307692307,-5.627659574468085,3.1538461538461537,119.17021276595744,67.53846153846153,20.34792312538883,20.195587319854152,2.106382978723404,0.6153846153846154,23.601204523492548,31.418881565554848,0.7856929559587936,1.731408126756964,56.85702127659574,63.68846153846153
Todd Gilliland,Front Row Motorsports,100,2024,32,67.83,21.442105263157895,18.764705882352942,24.94736842105263,18.058823529411764,20.757894736842104,17.705882352941178,7.294736842105263,5.0588235294117645,32.94736842105263,30.11764705882353,22.14905263157895,18.971176470588233,-5.652631578947369,-4.470588235294118,118.65263157894736,87.0,20.22396002482083,25.549767824793914,2.0842105263157893,4.823529411764706,23.467187267638852,27.744896959984747,0.7774225037908064,0.0,56.74452631578947,63.92411764705883
Todd Gilliland,Front Row Motorsports,101,2024,27,56.542500000000004,21.552083333333332,24.3125,24.9375,30.4375,20.875,24.75,7.458333333333333,7.6875,32.958333333333336,34.75,22.229583333333334,25.708125,-5.802083333333333,-12.625,118.1875,93.125,20.013293774562275,6.113558423831177,2.1770833333333335,0.875,23.222737400267615,7.421896559139329,0.7693243527096524,0.17998713346701667,56.52572916666666,44.793125
Todd Gilliland,Front Row Motorsports,102,2024,23,52.495000000000005,21.608247422680414,21.529411764705884,25.02061855670103,20.529411764705884,20.835051546391753,15.764705882352942,7.43298969072165,3.823529411764706,32.95876288659794,33.294117647058826,22.216082474226805,18.002352941176472,-5.938144329896907,-3.0,118.29896907216495,300.7647058823529,19.91086311069921,43.19624606424328,2.1649484536082473,3.9411764705882355,23.099162324555365,43.09044421567938,0.7613931738157385,2.0383263528060844,56.52113402061855,70.62764705882353
Todd Gilliland,Front Row Motorsports,103,2024,19,50.08,21.622448979591837,19.571428571428573,24.79591836734694,25.5,20.989795918367346,21.0,7.36734693877551,8.0,33.0,33.642857142857146,22.177448979591837,21.76071428571429,-6.030612244897959,2.357142857142857,122.62244897959184,67.71428571428571,20.35721283948152,19.36529026639518,2.173469387755102,0.5714285714285714,23.363140996396112,29.95107325497174,0.7641435275018181,1.6077361177028953,56.5804081632653,62.43714285714285
Todd Gilliland,Front Row Motorsports,104,2024,31,54.2525,21.595959595959595,24.470588235294116,24.696969696969695,30.58823529411765,20.87878787878788,24.294117647058822,7.373737373737374,7.529411764705882,32.97979797979798,34.64705882352941,22.146060606060605,25.426470588235293,-5.929292929292929,-13.0,122.53535353535354,95.23529411764706,20.346516200840647,6.3467325977143405,2.1616161616161618,0.8823529411764706,23.46076101598585,7.6462529413181795,0.7564249060119007,0.1693996550277804,56.64383838383837,45.457058823529415
Todd Gilliland,Front Row Motorsports,105,2024,20,54.317499999999995,21.69,24.833333333333332,24.75,30.555555555555557,20.75,23.38888888888889,7.37,7.5,33.0,34.666666666666664,22.207200000000004,25.58388888888889,-5.99,-12.944444444444445,122.24,95.11111111111111,20.239825232382238,6.531770750896877,2.14,0.8333333333333334,23.294594470464773,7.601689248127077,0.7488606569517817,0.1599885630817926,56.43739999999999,44.93166666666667
Todd Gilliland,Front Row Motorsports,106,2024,26,52.769999999999996,21.673267326732674,19.5,24.81188118811881,18.38888888888889,20.871287128712872,18.5,7.306930693069307,6.055555555555555,33.039603960396036,30.333333333333332,22.25792079207921,19.577222222222222,-6.138613861386139,-5.333333333333333,122.45544554455445,86.27777777777777,20.094436423700788,24.130336278972027,2.1386138613861387,5.166666666666667,23.126994933118603,26.203513795541152,0.7451544309939026,0.0,56.37257425742573,62.358333333333334
Todd Gilliland,Front Row Motorsports,107,2024,20,54.57,21.715686274509803,21.727272727272727,24.69607843137255,27.636363636363637,20.980392156862745,24.227272727272727,7.284313725490196,10.5,33.049019607843135,32.40909090909091,22.263823529411766,24.28590909090909,-6.127450980392157,-5.954545454545454,121.73529411764706,70.68181818181819,20.11752018025114,12.154987455081073,2.2058823529411766,1.0454545454545454,23.181777918458135,16.035339980800234,0.7378489953959232,0.6007585310863999,56.50156862745097,50.18818181818181
Todd Gilliland,Front Row Motorsports,108,2025,27,53.015,21.699029126213592,21.61111111111111,24.766990291262136,19.555555555555557,21.097087378640776,16.88888888888889,7.223300970873787,3.6666666666666665,33.04854368932039,33.5,22.264757281553404,18.026111111111113,-6.077669902912621,-3.6666666666666665,121.51456310679612,314.1666666666667,20.04969292734883,44.3327399790834,2.2233009708737863,3.888888888888889,23.084705120635874,43.417034657305436,0.7338071935800417,1.9823597684863883,56.502912621359215,70.16666666666667
Todd Gilliland,Front Row Motorsports,109,2025,15,61.1125,21.75,21.894736842105264,24.66346153846154,19.263157894736842,20.971153846153847,16.42105263157895,7.163461538461538,3.526315789473684,33.08653846153846,33.68421052631579,22.211346153846158,17.95684210526316,-6.028846153846154,-3.526315789473684,125.83653846153847,327.6842105263158,20.272844371124318,44.27614540544743,2.2211538461538463,3.789473684210526,23.32176270091822,43.64449038428936,0.7267513551802336,1.8780250438292099,56.61721153846153,70.07315789473685
Todd Gilliland,Front Row Motorsports,110,2025,10,70.745,21.685714285714287,19.533333333333335,24.476190476190474,24.8,20.923809523809524,20.266666666666666,7.104761904761904,8.0,33.114285714285714,33.46666666666667,22.123047619047625,21.581333333333337,-5.914285714285715,2.466666666666667,127.92380952380952,70.8,20.554579876732657,19.360820622904505,2.2476190476190476,0.6,23.672511398433286,30.156169900358943,0.7448925703404218,1.5005537098560355,56.920095238095236,62.46533333333333
Todd Gilliland,Front Row Motorsports,111,2025,17,69.695,21.57547169811321,21.652173913043477,24.339622641509433,27.82608695652174,21.056603773584907,24.608695652173914,7.09433962264151,10.08695652173913,33.132075471698116,32.43478260869565,22.119339622641515,24.202173913043477,-5.886792452830188,-5.739130434782608,127.93396226415095,71.91304347826087,20.521558024782347,12.197436397525944,2.2264150943396226,1.173913043478261,23.6974479840141,15.911337361755235,0.7378652819409838,0.5886187431417794,56.99943396226415,50.46869565217391
Todd Gilliland,Front Row Motorsports,112,2025,29,69.49249999999999,21.53271028037383,24.57894736842105,24.364485981308412,30.57894736842105,21.065420560747665,23.894736842105264,7.186915887850467,7.157894736842105,33.14018691588785,34.78947368421053,22.131401869158882,25.67578947368421,-5.785046728971962,-13.368421052631579,127.57943925233644,97.6842105263158,20.329767762868496,6.48039100377365,2.205607476635514,0.8947368421052632,23.47597650752799,7.536707771831013,0.730969344726582,0.17128031424622417,56.98850467289719,45.19263157894737
Todd Gilliland,Front Row Motorsports,113,2025,30,61.8125,21.60185185185185,24.8,24.435185185185187,30.65,21.0,23.4,7.12962962962963,6.85,33.157407407407405,34.8,22.156111111111116,25.631999999999998,-5.703703703703703,-12.55,127.48148148148148,98.65,20.204840346897488,6.498251795484967,2.185185185185185,0.85,23.3494519172268,7.650438420989462,0.7242011100531878,0.16271629853391295,56.809629629629626,44.816500000000005
Todd Gilliland,Front Row Motorsports,114,2025,10,49.05,21.574074074074073,19.842105263157894,24.435185185185187,18.105263157894736,21.23148148148148,19.210526315789473,7.157407407407407,6.0,33.166666666666664,30.526315789473685,22.298703703703705,19.75,-5.787037037037037,-5.315789473684211,126.64814814814815,84.3157894736842,19.796467087310937,24.041843821754384,2.212962962962963,5.368421052631579,22.741682493666865,26.33568988197325,0.7242011100531878,0.0,56.508518518518514,62.735789473684214
