driver,team,race_id,year,finish,finish_ytd,start_ytd,mid_ytd,best_ytd,worst_ytd,avg_ytd,green_flag_passing_diff_ytd,green_flag_passes_ytd,pct_quality_passes_ytd,fastest_lap_ytd,pct_top_15_laps_ytd,pct_laps_led_ytd,rating_ytd,prev_year_rating
Ricky Stenhouse Jr.,JTG Daugherty Racing,13,2022,7,22.076923076923077,24.23076923076923,19.846153846153847,6.0,31.153846153846153,18.95615384615385,14.076923076923077,115.84615384615384,39.24553645385466,3.230769230769231,46.998424476868564,1.6792978615551168,70.52,
Ricky Stenhouse Jr.,JTG Daugherty Racing,14,2022,32,21.0,24.571428571428573,19.214285714285715,5.785714285714286,31.214285714285715,18.605,15.642857142857142,121.57142857142857,40.77901854388545,3.357142857142857,48.518599276428105,1.55934801430118,71.19285714285715,
Ricky Stenhouse Jr.,JTG Daugherty Racing,15,2022,25,21.733333333333334,24.733333333333334,19.6,5.666666666666667,31.333333333333332,19.267333333333337,13.2,116.46666666666667,38.653009900226415,3.2666666666666666,45.61597619880178,1.4553914800144345,68.79266666666668,
Ricky Stenhouse Jr.,JTG Daugherty Racing,16,2022,16,21.9375,25.1875,19.0,5.8125,31.4375,19.69125,15.8125,116.3125,37.11438976391841,3.0625,43.44679586819485,1.3644295125135324,67.12875,
Ricky Stenhouse Jr.,JTG Daugherty Racing,17,2022,19,21.58823529411765,25.176470588235293,18.941176470588236,6.0,31.235294117647058,19.733529411764707,15.941176470588236,115.58823529411765,35.609923397715065,2.8823529411764706,41.28325885634025,1.2841689529539129,66.44470588235293,
Ricky Stenhouse Jr.,JTG Daugherty Racing,18,2022,31,21.444444444444443,25.61111111111111,19.666666666666668,5.722222222222222,31.444444444444443,19.956111111111113,14.277777777777779,112.0,34.3941215531797,2.7222222222222223,39.34816741450056,1.212826233345362,65.76277777777779,
Ricky Stenhouse Jr.,JTG Daugherty Racing,19,2022,22,21.94736842105263,25.31578947368421,19.57894736842105,5.473684210526316,31.68421052631579,20.24684210526316,12.736842105263158,110.47368421052632,33.725312365536126,2.6315789473684212,38.28435873316557,1.2139705316553202,64.41263157894737,
Ricky Stenhouse Jr.,JTG Daugherty Racing,20,2022,20,21.95,25.25,20.0,5.8,31.6,20.409000000000002,11.8,107.4,32.54925082889197,2.5,36.38680746317396,1.1532720050725542,63.791999999999994,
Ricky Stenhouse Jr.,JTG Daugherty Racing,21,2022,13,21.857142857142858,24.952380952380953,19.285714285714285,5.714285714285714,31.666666666666668,20.25714285714286,11.238095238095237,107.23809523809524,32.37291287733301,2.380952380952381,36.41005472683234,1.0983542905452897,64.00047619047619,
Ricky Stenhouse Jr.,JTG Daugherty Racing,22,2022,33,21.454545454545453,25.545454545454547,19.545454545454547,5.863636363636363,31.954545454545453,20.35727272727273,10.954545454545455,107.45454545454545,31.631936317973715,2.272727272727273,35.442155833329394,1.0484290955205038,63.64454545454546,
Ricky Stenhouse Jr.,JTG Daugherty Racing,23,2022,22,21.956521739130434,25.652173913043477,20.130434782608695,6.391304347826087,32.0,20.867391304347827,10.565217391304348,103.26086956521739,30.25663473893138,2.1739130434782608,33.901192536228116,1.002845221802221,62.181739130434785,
Ricky Stenhouse Jr.,JTG Daugherty Racing,24,2022,15,21.958333333333332,25.416666666666668,20.208333333333332,6.166666666666667,32.0,20.83791666666667,9.875,104.0,29.581341073845056,2.75,33.09584552728561,1.0238740745788872,62.001666666666665,
Ricky Stenhouse Jr.,JTG Daugherty Racing,25,2022,22,21.68,25.24,19.72,6.0,31.92,20.632,9.08,103.0,29.765176038486192,2.64,33.94978948397197,0.9829191115957318,62.208400000000005,
Ricky Stenhouse Jr.,JTG Daugherty Racing,26,2022,35,21.692307692307693,25.03846153846154,19.115384615384617,5.846153846153846,32.0,20.378076923076925,9.192307692307692,109.42307692307692,30.18731314241906,2.769230769230769,34.84581207343459,0.9451145303805113,63.033846153846156,
Ricky Stenhouse Jr.,JTG Daugherty Racing,27,2022,30,22.185185185185187,24.85185185185185,19.703703703703702,6.037037037037037,32.148148148148145,20.80074074074074,8.296296296296296,105.81481481481481,29.377906482823295,2.888888888888889,33.57781000025408,0.9101102885145664,62.0662962962963,
