driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status,stage_1,stage_2,stage_3,team_name,manufacturer,track_type
Alex Bowman,4045,3/12/2023,Cup,Phoenix Raceway,18,10,9,8,20,12.4,9,79,70,36,45.56962025316456,1,260,82.01892744479495,0,0,317,86.56,running,14,12,,Hendrick Motorsports,Chevrolet,short intermediate
Aric Almirola,40,3/12/2023,Cup,Phoenix Raceway,31,35,33,9,35,28.87,16,73,57,3,4.109589041095891,4,2,0.6389776357827476,0,0,313,47.41,running,21,35,,Stewart-Haas Racing,Ford,short intermediate
Austin Cindric,4180,3/12/2023,Cup,Phoenix Raceway,20,27,25,19,35,26.74,-5,63,68,0,0,1,0,0,0,0,316,48.06,running,27,27,,Team Penske,Ford,short intermediate
Austin Dillon,3873,3/12/2023,Cup,Phoenix Raceway,30,24,16,15,33,25.26,11,89,78,2,2.247191011235955,0,1,0.31545741324921134,0,0,317,52.33,running,31,24,,Richard Childress Racing,Chevrolet,short intermediate
BJ McLeod,3973,3/12/2023,Cup,Phoenix Raceway,33,36,36,33,36,35.99,-3,4,7,0,0,0,0,0,0,0,50,23.17,fuel pump,36,36,,Live Fast Motorsports,Chevrolet,short intermediate
Brad Keselowski,1816,3/12/2023,Cup,Phoenix Raceway,4,4,18,1,20,6.26,-15,50,65,29,58,6,308,97.16088328,1,0.31545741324921134,317,92.26,running,9,4,,RFK Racing,Ford,short intermediate
Bubba Wallace,4025,3/12/2023,Cup,Phoenix Raceway,19,11,14,1,24,16.55,15,114,99,29,25.43859649122807,0,117,36.90851735015773,0,0,317,74.67,running,15,11,,23XI Racing,Toyota,short intermediate
Chase Briscoe,4228,3/12/2023,Cup,Phoenix Raceway,24,12,7,5,24,12.89,12,110,98,62,56.36363636363637,9,220,69.40063091,0,0,317,87.05,running,20,10,,Stewart-Haas Racing,Ford,short intermediate
Chris Buescher,3989,3/12/2023,Cup,Phoenix Raceway,21,13,15,5,22,12.56,12,98,86,53,54.08163265306123,0,300,94.63722397,0,0,317,80.67,running,11,13,,RFK Racing,Ford,short intermediate
Christopher Bell,4153,3/12/2023,Cup,Phoenix Raceway,5,6,6,3,19,4.82,6,62,56,41,66.12903225806451,19,316,99.68454259,0,0,317,111.83,running,3,7,,Joe Gibbs Racing,Toyota,short intermediate
Cody Ware,4125,3/12/2023,Cup,Phoenix Raceway,36,34,34,33,36,34.71,-1,13,14,0,0,0,0,0,0,0,311,26,running,35,34,,Rick Ware Racing,Ford,short intermediate
Corey LaJoie,4096,3/12/2023,Cup,Phoenix Raceway,28,26,26,24,34,27.17,-9,84,93,0,0,2,0,0,0,0,316,40.63,running,30,28,,Spire Motorsports,Chevrolet,short intermediate
Daniel Suarez,4113,3/12/2023,Cup,Phoenix Raceway,11,14,22,2,29,15.23,-18,73,91,33,45.205479452054796,2,246,77.60252365930599,0,0,317,77.12,running,13,14,,Trackhouse Racing,Chevrolet,short intermediate
Denny Hamlin,1361,3/12/2023,Cup,Phoenix Raceway,2,5,23,2,24,5.75,-24,56,80,23,41.07142857142857,13,313,98.73817034700315,0,0,317,93.46,running,4,6,,Joe Gibbs Racing,Toyota,short intermediate
Erik Jones,4059,3/12/2023,Cup,Phoenix Raceway,10,21,21,1,26,17.9,-8,80,88,16,20,11,96,30.28391167192429,14,4.416403785488959,317,61.71,running,16,22,,Legacy Motor Club,Chevrolet,short intermediate
Harrison Burton,4217,3/12/2023,Cup,Phoenix Raceway,27,30,35,22,35,30.98,-8,60,68,0,0,1,0,0,0,0,310,32.06,running,32,30,,Wood Brothers Racing,Ford,short intermediate
Joey Logano,3859,3/12/2023,Cup,Phoenix Raceway,16,16,11,8,25,17.65,-2,87,89,22,25.28735632183908,2,95,29.968454258675077,0,0,317,73.62,running,24,18,,Team Penske,Ford,short intermediate
Josh Berry,4123,3/12/2023,Cup,Phoenix Raceway,17,15,10,9,28,18.37,3,119,116,32,26.89075630252101,3,66,20.820189274447948,0,0,317,71.19,running,18,15,,Hendrick Motorsports,Chevrolet,short intermediate
Justin Haley,4172,3/12/2023,Cup,Phoenix Raceway,26,29,27,25,34,28.46,-3,66,69,0,0,0,0,0,0,0,316,41,running,29,29,,Kaulig Racing,Chevrolet,short intermediate
Kevin Harvick,1416,3/12/2023,Cup,Phoenix Raceway,15,3,5,1,17,5.08,15,62,47,40,64.51612903225806,49,312,98.42271293375394,36,11.35646687697161,317,115.96,running,8,3,,Stewart-Haas Racing,Ford,short intermediate
Kyle Busch,454,3/12/2023,Cup,Phoenix Raceway,9,20,8,3,24,13.88,-14,76,90,35,46.05263157894737,4,225,70.97791798107255,0,0,317,83.41,running,10,20,,Richard Childress Racing,Chevrolet,short intermediate
