driver,race_id,finish,momentum,adj_finish,adj_start,adj_mid,adj_best,adj_worst,adj_avg,adj_green_flag_passing_diff,adj_green_flag_passes,adj_green_flag_times_passed,adj_quality_passes,adj_pct_quality_passes,adj_fastest_lap,adj_top_15_laps,adj_pct_top_15_laps,adj_laps_led,adj_pct_laps_led,adj_rating
William Byron,89,26,87.6125,16.072103798072217,12.932843822936668,14.43423464528324,4.683354287276293,26.749480022364295,14.195986053733936,-1.1351644745183669,70.90909062518674,72.04425509970508,24.859182816420144,38.50246888061375,11.083982886170205,178.9098475685804,58.14333834457173,16.51772567740568,5.080372410892559,82.75399157889387
William Byron,90,19,72.625,17.01693304848331,12.475864462091302,14.72722195653612,4.706070844863881,26.99643184116635,14.65157791153316,-3.122551708318138,74.13770924765696,77.2602609559751,24.783578834191125,36.91919439526596,10.214120471033977,171.0696026101047,55.62229958428223,14.760072916531772,4.54663069820244,80.43826445291882
William Byron,91,8,73.41749999999999,16.95674712883502,16.134311976380683,16.918346217427082,5.857602905477094,29.617901737976702,17.251197150292075,-2.24909416183796,62.727608111356744,64.97670227319472,12.855727510777768,25.44502779581793,3.145152742093456,42.07020023046108,48.028255470969164,7.351383529395367,9.403305047565182,78.02842299881934
William Byron,92,4,82.49,20.188613265116825,16.626790991793975,19.320320684752204,4.762962802086561,29.71374888572132,18.15089596784655,-1.3027181200320512,75.32033781829377,76.6230559383258,28.655916892272025,40.663046853626184,4.401646668196579,83.07961564169821,55.519173575763574,9.075439714230606,5.512550827375385,73.59808805719864
William Byron,93,38,77.985,17.52473493304472,16.17418869094373,17.615636340431287,4.702258906201462,30.813278384561762,17.31003968640755,1.5486190753658438,75.15042676407913,73.60180768871328,26.78080331853917,36.955267546485786,3.4415008995133265,84.90883453004807,52.57508517017089,5.630018937551261,3.338458820266479,74.56004659290618
William Byron,94,13,78.925,15.424031313539668,14.73288415186678,17.18932457324787,5.723150167869183,27.9910561918511,15.99100291010068,-1.4422727033170866,74.49680998100723,75.93908268432432,32.40419342408729,47.0280292598506,12.576481024354976,222.87062182929736,54.501948556787056,14.713379732335795,3.546785839212092,79.72698906489373
William Byron,95,2,80.49,19.6900234629005,15.368233911281692,19.759973400685766,4.706763688832908,31.446313128550116,18.367562678663347,1.2945931585011439,72.6348116445921,71.34021848609095,25.40290683275598,35.887803146014726,3.426105821160338,80.94845327069949,54.076019265936516,4.993296404768171,2.9512717041550482,73.12230270006779
William Byron,96,27,90.89,15.427939504948187,17.610022908705712,19.833990918508228,2.4222463108568912,32.9223106865753,18.064494208585344,5.178675318318111,311.7768351428666,306.59815982454853,147.14600233367963,46.8607601734339,4.239312728514045,93.40012207363559,47.95916972097974,5.536118515138316,2.7947136472214185,76.05564795785637
William Byron,97,30,86.23,17.23771572017899,12.341019938001418,14.845684244034054,4.623055696479685,27.682036882311362,14.917788252841138,-2.245343998408547,75.75172331534111,77.99706731374967,25.910688181126986,37.153823395065075,9.333785680438679,172.71868666688746,55.791838622260165,13.422870630585749,4.139647698663613,79.53306606185251
William Byron,98,9,92.64750000000001,17.724894344923324,16.867219848675536,18.684257617259455,2.449758614004646,33.00665250532288,18.154600580307754,3.58168018011859,319.7450963579955,316.16341617787697,152.63794563057968,46.71920687439791,4.453346769807657,90.07709266686354,47.51952818341234,5.000135613349341,2.542915207657712,75.4059534658347
